[TM98] M                             13.0092 28.0601
GMP 2598                             13.0094 28.0548
[EDG2007] 398                        13.0093 27.9023
[APD2000] J130034.4+280312           13.0095 28.0537
[CTM2010] 221307                     13.0101 27.9263
[CTM2010] 92668                      13.01 28.0412
[EDG2007] 646                        13.0085 27.8796
[CTM2010] 221227                     13.01 27.9182
GMP 3757                             12.9851 27.8806
[EDG2007] 492                        12.9998 27.7987
[CTM2010] 221365                     13.0103 27.9246
[CTM2010] 151316                     13.0109 27.9633
GMP 2550                             13.0108 28.0098
[EDG2007] 336                        12.9832 27.9323
[EDG2007] 363                        12.9827 27.9869
GMP 3838                             12.9835 27.9158
[CTM2010] 22382                      13.0099 28.0554
[EDG2007] 645                        13.0032 27.8118
[CTM2010] 92663                      13.0101 28.0489
[CTM2010] 150000                     13.0111 27.9967
[CTM2010] 1040963                    13.0112 27.9731
[EDG2007] 539                        12.9894 27.8186
[CTM2010] 80801                      13.011 28.0116
GMP 2766                             13.0054 28.1336
GMP 3680                             12.9866 27.8481
[CTM2010] 80942                      13.0111 28.0067
[EDG2007] 457                        12.9827 28.0093
4W 1258+28W04                        13.0111 28.0036
[EDG2007] 683                        12.9859 27.8571
[EDG2007] 380                        13.0102 27.9075
FOCA 0728-510                        12.9843 28.075
[EDG2007] 531                        12.9827 28.0168
[EDG2007] 491                        13.011 27.9406
[CTM2010] 80686                      13.011 28.02
[EDG2007] 368                        13.0103 27.9087
GMP 3614                             12.9879 27.8292
[EDG2007] 521                        13.004 27.8125
[EDG2007] 513                        12.9984 27.788
LEDA 3099309                         12.9822 27.9672
[CTM2010] 22069                      13.0097 28.0758
GMP 3605                             12.9879 27.8256
GMP 3773                             12.9848 27.8675
[EDG2007] 192                        13.005 27.8165
[EDG2007] 584                        12.9883 27.8193
GMP 3346                             12.9929 27.7903
[EDG2007] 687                        12.9827 27.9192
[EDG2007] 276                        12.9819 27.9682
GMP 3349                             12.9928 28.1725
[EDG2007] 655                        12.9832 28.0667
GMP 3404                             12.9918 28.17
GMP 2717                             13.0063 27.8208
[CTM2010] 151773                     13.0121 27.9891
[CTM2010] 151841                     13.0122 27.9833
2XMM J130025.9+274952                13.0072 27.8312
GMP 3218                             12.9952 28.1823
GMP 3790                             12.9845 28.1006
[EDG2007] 730                        12.9906 27.7951
[EDG2007] 667                        13.0122 27.9977
[EDG2007] 341                        13.0109 27.8967
GMP 3854                             12.9831 28.0775
[EDG2007] 543                        12.9836 27.8729
[EDG2007] 635                        12.9995 27.7774
[CTM2010] 10162                      13.0109 28.0698
GMP 2765                             13.0054 28.1539
[CTM2010] 1042863                    13.0125 27.9949
[CTM2010] 80928                      13.0118 28.0448
[EDG2007] 322                        12.9821 27.9075
[EDG2007] 451                        13.0108 27.8835
[HVH2010] Comai J130039.068+280437.5213.0109 28.0771
GMP 2824                             13.0043 28.1653
GMP 3897                             12.9823 27.896
[EDG2007] 572                        13.012 28.0457
GMP 2899                             13.0028 28.1759
GMP 2497                             13.0122 28.0369
[CTM2010] 81669                      13.0124 28.0291
GMP 2518                             13.0118 28.0572
GMP 3960                             12.981 27.9524
[EDG2007] 613                        13.0126 27.9422
[EDG2007] 273                        12.9866 27.817
GMP 3372                             12.9922 28.1842
[EDG2007] 486                        12.9867 27.8147
[EDG2007] 460                        12.9815 27.9166
[EDG2007] 680                        12.989 27.7923
[CTM2010] 10217                      13.0112 28.0818
[EDG2007] 475                        12.9807 28.0099
[CTM2010] 150005                     13.0132 27.975
[EDG2007] 706                        13.0132 27.9935
GMP 3884                             12.9825 28.085
[EDG2007] 639                        13.0032 27.7802
[EDG2007] 204                        12.9813 27.9103
[EDG2007] 596                        12.9913 27.7759
[CTM2010] 4000025                    13.0133 27.9944
[EDG2007] 594                        13.0109 27.8667
[EDG2007] 644                        13.0132 28.0116
GMP 3327                             12.9932 28.1936
GMP 2476                             13.0126 27.9172
[EDG2007] 534                        12.9809 28.0379
[EDG2007] 471                        13.0133 28.0011
[EDG2007] 528                        13.0123 28.0593
[EDG2007] 574                        13.0005 27.7666
GMP 3024                             12.9999 28.1964
[EDG2007] 356                        12.9851 27.8257
GMP 2463                             13.0131 27.9331
[EDG2007] 669                        12.9818 27.8854
GMP 2488                             13.0124 27.897
[EDG2007] 729                        13.0123 28.0659
[EDG2007] 508                        12.9801 27.964
[EDG2007] 649                        13.0134 28.0251
GMP 3105                             12.9979 28.2041
[EDG2007] 351                        13.0126 28.0627
[CTM2010] 2000005                    13.0135 28.0198
[APD2000] J130044.5+280426           13.0123 28.0743
[CTM2010] 11874                      13.0128 28.0599
GMP 2442                             13.0135 28.0281
[EDG2007] 364                        12.9937 27.7594
GMP 2748                             13.0056 27.7875
GMP 2644                             13.008 27.81
