C.D.S.  -  SIMBAD4 rel 1.6  -  2018.05.13CEST19:32:07

*
-

Number of objects : 10000  (truncated to 10000 objects)

  #  |                 typed ident                  |                  identifier                  |typ|  coord1 (ICRS,J2000/2000)   |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib|#not
-----|----------------------------------------------|----------------------------------------------|---|-----------------------------|------|------|------|------|------|---------------------|----|----
121  |[MJ2006] J230447.4+030858.4                   |[MJ2006] J230447.4+030858.4                   |G  |23 04 47.4 +03 08 58         |     ~|     ~|     ~|23.0  |     ~|~                    |   1|   0
122  |[MYP92] Sgr B1 Ionized rim                    |[MYP92] Sgr B1 Ionized rim                    |Rad|17 47 00.0 -28 32 53         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
123  |[MJ2006] J041729.5-055302.4                   |[MJ2006] J041729.5-055302.4                   |G  |04 17 29.5 -05 53 02         |     ~|     ~|     ~|20.7  |     ~|~                    |   1|   0
124  |[MJ2006] J230433.0+030850.9                   |[MJ2006] J230433.0+030850.9                   |G  |23 04 33.0 +03 08 51         |     ~|     ~|     ~|22.7  |     ~|~                    |   1|   0
125  |[MJ2006] J162032.6+173907.4                   |[MJ2006] J162032.6+173907.4                   |G  |16 20 32.6 +17 39 07         |     ~|     ~|     ~|19.7  |     ~|~                    |   1|   0
126  |[MJ2006] J011019.5-022015.2                   |[MJ2006] J011019.5-022015.2                   |G  |01 10 19.5 -02 20 15         |     ~|     ~|     ~|21.4  |     ~|~                    |   2|   0
127  |[MJ2006] J012525.7-000759.5                   |[MJ2006] J012525.7-000759.5                   |G  |01 25 25.7 -00 08 00         |     ~|     ~|     ~|18.3  |     ~|~                    |   1|   0
128  |[CK96] 30Dor-Center                           |[CK96] 30Dor-Center                           |reg|05 39 28.0 -70 18 30         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
129  |[MJ2006] J101050.8+413016.5                   |[MJ2006] J101050.8+413016.5                   |G  |10 10 50.8 +41 30 17         |     ~|     ~|     ~|19.8  |     ~|~                    |   1|   0
130  |[MJ2006] J041714.8-055041.5                   |[MJ2006] J041714.8-055041.5                   |G  |04 17 14.8 -05 50 41         |     ~|     ~|     ~|20.6  |     ~|~                    |   1|   0
131  |[MJ2006] J214800.2+065505.4                   |[MJ2006] J214800.2+065505.4                   |G  |21 48 00.2 +06 55 05         |     ~|     ~|     ~|21.4  |     ~|~                    |   1|   0
132  |[TMD2011] Object A                            |[TMD2011] Object A                            |G  |21 44 11.970 -39 33 56.42    |23.39 |23.82 |23.76 |     ~|     ~|~                    |   1|   0
133  |[MJ2006] J230449.1+030842.8                   |[MJ2006] J230449.1+030842.8                   |G  |23 04 49.1 +03 08 43         |     ~|     ~|     ~|19.5  |     ~|~                    |   1|   0
134  |[GIL2005] g                                   |[GIL2005] g                                   |G  |11 23 20.0 +01 37 53         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
135  |[SM2006] W31663                               |[SM2006] W31663                               |V* |01 33 30.00 +30 31 44.9      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   1
136  |[WFG84] Cloud                                 |[WFG84] Cloud                                 |Cld|09 55 51.3 +69 40 46         |     ~|     ~|     ~|     ~|     ~|~                    |   0|   0
137  |[BGL2004] N49 OH                              |[BGL2004] N49 OH                              |Mas|05 25 56.5 -66 05 01         |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
138  |[MJ2006] J171911.1+480241.7                   |[MJ2006] J171911.1+480241.7                   |G  |17 19 11.1 +48 02 42         |     ~|     ~|     ~|20.3  |     ~|~                    |   1|   0
139  |[PBF2006b]  517                               |[PBF2006b] 517                                |Cl*|12 43 56.160 +11 32 20.79    |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
140  |[SM2006] W10109                               |[SM2006] W10109                               |V* |01 34 15.57 +30 41 10.1      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
141  |[MSL2002] WF3-1                               |[MSL2002] WF3-1                               |HB*|13 26 32.5 -47 24 18         |     ~|     ~|18.6  |     ~|     ~|~                    |   2|   0
142  |[SM2006] W22124                               |[SM2006] W22124                               |V* |01 33 39.68 +30 35 01.0      |     ~|     ~|     ~|     ~|     ~|~                    |   1|   0
143  |[MJ2006] J101011.3+412954.4                   |[MJ2006] J101011.3+412954.4                   |G  |10 10 11.3 +41 29 54         |     ~|     ~|     ~|19.8  |     ~|~                    |   1|   0
144  |[MJ2006] J020153.3-113614.8                   |[MJ2006] J020153.3-113614.8                   |G  |02 01 53.3 -11 36 15         |     ~|     ~|     ~|19.9  |     ~|~                    |   1|   0
145  |[GRG2003] H2O maser                           |[GRG2003] H2O maser                           |Mas|18 19 12.509 -20 47 27.42    |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
146  |[FKA2008] B2108                               |[FKA2008] B2108                               |GrG|21 10 53.30 +21 31 09.0      |     ~|     ~|     ~|     ~|     ~|~                    |   2|   0
147  |[MJ2006] J225410.1+160631.8                   |[MJ2006] J225410.1+160631.8                   |G  |22 54 10.1 +16 06 32         |     ~|     ~|     ~|22.2  |     ~|~                    |   1|   0
148  |[MJ2006] J101035.4+412857.1                   |[MJ2006] J101035.4+412857.1                   |G  |10 10 35.4 +41 28 57         |     ~|     ~|     ~|18.9  |     ~|~                    |   1|   0
