[WTM2001] BCG                                 23.7733 0.733056
[BM2000] 0728.7+0565.4                        21.8786 17.7231
[BM2000] 0732.8+0694.3                        21.9082 17.724
[BM2000] 0733.9+0399.0                        21.889 17.6507
[BM2000] 0735.0+0248.8                        21.889 17.6572
[BM2000] 0735.2+0470.2                        21.8696 17.7289
[BM2000] 0735.5+0231.0                        21.889 17.6579
[BM2000] 0735.5+1036.3                        21.898 17.6216
[BM2000] 0740.5+0860.3                        21.8935 17.7279
[BM2000] 0741.8+0259.4                        21.9127 17.6905
[BM2000] 0742.1+0533.6                        21.8935 17.6441
[BM2000] 0744.2+0259.0                        21.8981 17.6553
[BM2000] 0745.0+0392.6                        21.9172 17.7331
[BM2000] 0745.7+1051.7                        21.8935 17.6217
[BM2000] 0746.1+0602.2                        21.9127 17.7274
[BM2000] 0747.5+0758.1                        21.889 17.6351
[BM2000] 0750.8+0679.3                        21.8787 17.7181
[BM2000] 0754.1+0199.8                        21.8935 17.7072
[BM2000] 0755.9+1079.8                        21.9172 17.6541
[BM2000] 0757.6+0432.3                        21.9083 17.7353
[BM2000] 0758.3+0551.2                        21.8981 17.7404
[BM2000] 0760.9+0582.7                        21.889 17.6427
[BM2000] 0761.1+0480.8                        21.9172 17.7293
[BM2000] 0761.2+0605.1                        21.8935 17.6898
[BM2000] 0762.1+0857.7                        21.8787 17.7104
[BM2000] 0764.4+0671.9                        21.8697 17.668
[BM2000] 0765.1+1091.4                        21.8697 17.6498
[BM2000] 0772.6+0362.3                        21.8891 17.6523
[BM2000] 0776.6+0404.9                        21.8935 17.6985
[BM2000] 0778.7+0824.6                        21.8936 17.6315
[BM2000] 0779.9+1270.9                        21.8981 17.7091
[BM2000] 0780.3+0348.2                        21.8742 17.7332
[BM2000] 0780.4+0911.2                        21.8936 17.6278
[BM2000] 0781.7+0321.9                        21.9128 17.6877
[BM2000] 0786.6+1023.9                        21.8742 17.704
[BM2000] 0787.3+0643.7                        21.8697 17.7213
[BM2000] 0788.3+0196.1                        21.8788 17.7391
[BM2000] 0788.7+0499.2                        21.8743 17.6748
[BM2000] 0793.3+1002.8                        21.9173 17.7067
